,predicted_price
0,57922.40142505965
1,57915.77326858981
2,57887.851841207244
3,57887.987629303934
4,57932.067840193005
5,57921.07749111689
6,57907.23559201021
7,57900.72625012498
8,57922.62208071678
9,57964.23264559724
10,57962.56924141275
11,57944.96770937888
12,57911.74205946923
13,57891.755748987176
14,57880.55323100998
15,57862.3830863212
