,predicted_price
0,57480.11846044438
1,57188.479219127235
2,56482.3374416735
3,56225.17264790674
4,56035.01874784262
5,56036.22750129194
6,55892.72549055272
7,55891.83640743711
8,56281.73431757645
9,56320.39444855875
10,56741.280401671494
11,56426.854659380035
12,56288.90692068893
13,56756.33487644936
14,56637.377553519844
15,56707.68504753881
