,predicted_price
0,59474.679519551384
1,59627.256408759036
2,59584.45094750392
3,59514.43743979743
4,59361.58077633322
5,59152.96910030982
6,59212.361178204395
7,58665.05278879057
8,58282.261654177266
9,58161.97870772791
10,58052.327183028196
11,58076.11798677432
12,57486.763523373214
13,57727.75906959452
14,57634.02470170605
15,57365.011762076865
