,predicted_price
0,57888.276128252226
1,57888.41183790279
2,57932.466583219015
3,57921.482583376026
4,57907.64868087106
5,57901.14309949687
6,57923.026280651255
7,57964.61280669774
8,57962.95036347826
9,57945.35900002315
10,57912.15254489935
11,57892.1777807061
12,57880.9817345341
13,57863.55152628903
14,57900.4051782719
15,57885.73157230404
