,predicted_price
0,57200.506306287956
1,57259.9458915486
2,58893.57030400447
3,58251.74467980078
4,58284.57683262755
5,58202.126764116736
6,58234.99888304555
7,57917.97777012996
8,57757.17415856755
9,57538.06000412717
10,57480.468851085934
11,57188.77625533889
12,56482.50529159391
13,56225.29345038284
14,56035.10476229471
15,55962.06671081458
