,predicted_price
0,56505.44425019041
1,56734.58107225194
2,56856.05600120555
3,56998.90373580348
4,56690.030291657866
5,56654.38567785817
6,56435.98013851865
7,56545.44720093203
8,56621.29423169494
9,56637.620541932796
10,56444.1582536042
11,56614.51238016059
12,56035.033086483076
13,56097.585693576424
14,56143.891776920565
15,56260.77898277742
