,predicted_price
0,56742.17777807993
1,56646.20202253189
2,56623.73218143675
3,56572.12737764276
4,56561.082033907274
5,56977.15324779156
6,56814.47638757167
7,56747.89501562324
8,56839.560393128144
9,57130.64062148897
10,57401.954972758555
11,57258.49521464756
12,57322.17306805307
13,57190.40720592943
14,57003.89355602202
15,57037.95751583499
